Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Name withheld by police,5/15/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,5/15/20,Pending investigation/No Known Charges,No known charges,
Robert Avila,5/15/20,Pending investigation/No Known Charges,No known charges,
Roy Ogden,5/15/20,Justified by Solicitor,No known charges,
Anthony Ysaac,5/14/20,Pending investigation/No Known Charges,No known charges,
Rayshard Scales,5/14/20,Pending investigation/No Known Charges,No known charges,
Robert Tincher,5/14/20,Pending investigation/No Known Charges,No known charges,
Anthony Angel,5/13/20,Justified by Attorney General,No known charges,
David Tylek Atkinson,5/13/20,Pending investigation/No Known Charges,No known charges,
Donny Leek,5/13/20,Pending investigation/No Known Charges,No known charges,
Christopher Curro,5/12/20,Charged with a crime,Charged with a crime,
Gregory Howe,5/12/20,Pending investigation/No Known Charges,No known charges,
Stephan Curtis McCulloch,5/11/20,Pending investigation/No Known Charges,No known charges,
David Urrea,5/10/20,Pending investigation/No Known Charges,No known charges,
Darrin Jon Patterson,5/9/20,Grand jury/No bill or Cleared/Justified by District Attorney,No known charges,
Elder Melgar,5/9/20,Pending investigation/No Known Charges,No known charges,
Jayne Thompson aka Jayson Thompson,5/9/20,Justified by District Attorney,No known charges,
Jonathan Carter,5/9/20,Pending investigation/No Known Charges,No known charges,
Ward Benjamin McClain III,5/9/20,Pending investigation/No Known Charges,No known charges,
Yassin Mohamed,5/9/20,Pending investigation/No Known Charges,No known charges,
Adrian Medearis,5/8/20,Pending investigation/No Known Charges,No known charges,
Lloyd Nelson Jr.,5/8/20,Pending investigation/No Known Charges,No known charges,
Ruben Escarrega,5/8/20,Pending investigation/No Known Charges,No known charges,
Daniel Gomez,5/7/20,Pending investigation/No Known Charges,No known charges,
Finan H. Berhe,5/7/20,Pending investigation/No Known Charges,No known charges,
James Pease,5/7/20,Pending investigation/No Known Charges,No known charges,
McHale Rose,5/7/20,Pending investigation/No Known Charges,No known charges,
"Dreasjon ""DaDon"" Reed",5/6/20,Pending investigation/No Known Charges,No known charges,
James Joseph James,5/6/20,Pending investigation/No Known Charges,No known charges,
River Hudson,5/6/20,Pending investigation/No Known Charges,No known charges,
Vincent Ralph Pena,5/6/20,Justified by District Attorney,No known charges,
Alfredo Delarosa,5/5/20,Pending investigation/No Known Charges,No known charges,
Jahsean Iandie Hodge,5/5/20,Pending investigation/No Known Charges,No known charges,
Justin Charland,5/5/20,Pending investigation/No Known Charges,No known charges,
Qavon Webb,5/5/20,Pending investigation/No Known Charges,No known charges,
Sandra Lee Harmon,5/5/20,Pending investigation/No Known Charges,No known charges,
William C. Shimp,5/5/20,Pending investigation/No Known Charges,No known charges,
Demontre Bruner,5/4/20,Justified by District Attorney,No known charges,
Mark Anthony Jones,5/4/20,Pending investigation/No Known Charges,No known charges,
Ronal Zendejas,5/4/20,Pending investigation/No Known Charges,No known charges,
Armando Salvatierra,5/3/20,Pending investigation/No Known Charges,No known charges,
Chad Russell Adams,5/3/20,Pending investigation/No Known Charges,No known charges,
Filipe Pereira,5/3/20,Pending investigation/No Known Charges,No known charges,
Jesus Estrada Leon,5/3/20,Pending investigation/No Known Charges,No known charges,
Kortney Shawn Price,5/3/20,Pending investigation/No Known Charges,No known charges,
Michael Faries,5/3/20,Justified by County Prosecutor,No known charges,
Michael Ferguson,5/3/20,Pending investigation/No Known Charges,No known charges,
Phillip Michael Carney,5/3/20,Justified by District Attorney,No known charges,
Tyler Wayne Kracht,5/3/20,Pending investigation/No Known Charges,No known charges,
Brent D'Andrew Martin,5/1/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,5/1/20,Pending investigation/No Known Charges,No known charges,
Nicholas Peter Bils,5/1/20,Charged with 2nd degree murder,Charged with a crime,
Said Joquin,5/1/20,Pending investigation/No Known Charges,No known charges,
Spencer Gregory Calvert,5/1/20,Justified by County Prosecutor,No known charges,
William Lamont Debose,5/1/20,Justified by District Attorney,No known charges,
Christopher Lee Sauseda,4/30/20,Pending investigation/No Known Charges,No known charges,
Daniel Hernandez Bravo,4/30/20,Pending investigation/No Known Charges,No known charges,
Timothy Gilbert,4/30/20,Pending investigation/No Known Charges,No known charges,
Artemio Mondragon Alfaro,4/29/20,Pending investigation/No Known Charges,No known charges,
Denzel Marshal Taylor,4/29/20,Pending investigation/No Known Charges,No known charges,
Jesus Caballero-Herrera,4/29/20,Pending investigation/No Known Charges,No known charges,
Joshua Kyle Priest,4/29/20,Pending investigation/No Known Charges,No known charges,
"Malcolm ""Milky"" Xavier Ray Williams",4/29/20,Justified by County Prosecutor,No known charges,
Nicole Ann Stephens,4/29/20,Pending investigation/No Known Charges,No known charges,
Shaun Lee Fuhr,4/29/20,Pending investigation/No Known Charges,No known charges,
James R. Best,4/28/20,Pending investigation/No Known Charges,No known charges,
Jonas Joseph,4/28/20,Justified by State's Attorney,No known charges,
Robert Musser,4/28/20,Pending investigation/No Known Charges,No known charges,
William E. Abbe,4/28/20,Pending investigation/No Known Charges,No known charges,
Christopher Aguirre,4/27/20,Pending investigation/No Known Charges,No known charges,
Faron Morris Hammond,4/27/20,Pending investigation/No Known Charges,No known charges,
Jamie Lamar Darley,4/27/20,Justified by District Attorney,No known charges,
Bradley G. Pullman,4/26/20,Pending investigation/No Known Charges,No known charges,
De Quang Tran,4/26/20,Pending investigation/No Known Charges,No known charges,
Kelvin D. Shaw,4/25/20,Justified by State's Attorney,No known charges,
Reed Rickabaugh,4/25/20,Pending investigation/No Known Charges,No known charges,
Brandan Reid Nylander,4/24/20,Pending investigation/No Known Charges,No known charges,
Marlon Aaron Bonds,4/24/20,Pending investigation/No Known Charges,No known charges,
Michael Brent Ramos,4/24/20,Pending investigation/No Known Charges,No known charges,
Roy Joiner,4/24/20,Pending investigation/No Known Charges,No known charges,
Timothy Darryl Sides Jr.,4/24/20,Pending investigation/No Known Charges,No known charges,
Fred Brown,4/23/20,Pending investigation/No Known Charges,No known charges,
Luan Leo Agolli,4/23/20,Pending investigation/No Known Charges,No known charges,
Mason Farnsworth,4/23/20,Justified by District Attorney,No known charges,
Christopher Lawson,4/22/20,Justified by District Attorney,No known charges,
Craig Albert Dandy,4/22/20,Pending investigation/No Known Charges,No known charges,
Daniel Hernandez,4/22/20,Pending investigation/No Known Charges,No known charges,
Elmer L. Mack,4/22/20,Pending investigation/No Known Charges,No known charges,
Joshua Johnson,4/22/20,Pending investigation/No Known Charges,No known charges,
Carlos Adrian Ingram-Lopez,4/21/20,Administrative discipline,No known charges,
Chase Rosa,4/21/20,Pending investigation/No Known Charges,No known charges,
Nicolas Chavez,4/21/20,Pending investigation/No Known Charges,No known charges,
Thomas M. Mathes III,4/21/20,Pending investigation/No Known Charges,No known charges,
Joel Acevedo,4/19/20,Charged with a crime,Charged with a crime,
Mason Workman,4/19/20,Pending investigation/No Known Charges,No known charges,
Ramon Thomas Villagomez,4/19/20,Pending investigation/No Known Charges,No known charges,
Richard Lugo,4/19/20,Pending investigation/No Known Charges,No known charges,
Virgill Thorpe,4/19/20,Justified by District Attorney,No known charges,
Austin Dean Heights,4/18/20,Pending investigation/No Known Charges,No known charges,
Graciano Ceballos,4/18/20,Pending investigation/No Known Charges,No known charges,
Steven Demarco Taylor,4/18/20,Charged with manslaughter,Charged with a crime,
Willie J. Hampton,4/18/20,Pending investigation/No Known Charges,No known charges,
Derick L. Powe,4/17/20,Pending investigation/No Known Charges,No known charges,
Marcus Eugene Epps,4/17/20,Pending investigation/No Known Charges,No known charges,
Jasman Washington,4/16/20,Pending investigation/No Known Charges,No known charges,
Salvatore Friscia Jr.,4/16/20,Pending investigation/No Known Charges,No known charges,
Anthony Wilson,4/15/20,Justified by County Prosecuting Attorney,No known charges,
Goldie Bellinger,4/15/20,Pending investigation/No Known Charges,No known charges,
James Hinman,4/15/20,Pending investigation/No Known Charges,No known charges,
Juan Ayon-Barraza,4/15/20,Pending investigation/No Known Charges,No known charges,
Leslie Flynn Jr.,4/15/20,Grand jury/No bill or Cleared,No known charges,
Randy Steven Ashland,4/15/20,Pending investigation/No Known Charges,No known charges,
Tony Michael Clements,4/15/20,Justified by District Attorney,No known charges,
Thomas A. Powell III,4/14/20,Pending investigation/No Known Charges,No known charges,
Javier Vidal,4/13/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,4/13/20,Pending investigation/No Known Charges,No known charges,
Evaristo Hernandez Jr.,4/12/20,Pending investigation/No Known Charges,No known charges,
Justin Silvernale,4/12/20,Justified by District Attorney,No known charges,
Miguel Gomez,4/12/20,Pending investigation/No Known Charges,No known charges,
Ruben Deleon,4/12/20,Pending investigation/No Known Charges,No known charges,
Shawn Lee,4/12/20,Justified by internal review,No known charges,
Errol K. Bolin,4/11/20,Justified by County Prosecutor,No known charges,
Leah Baker,4/11/20,Pending investigation/No Known Charges,No known charges,
Timothy Barker,4/11/20,Grand jury/No bill or Cleared,No known charges,
Carlos Castaneda,4/10/20,Pending investigation/No Known Charges,No known charges,
Giuseppe Particianone,4/10/20,Pending investigation/No Known Charges,No known charges,
Jonathan Lee Adams,4/10/20,Justified by District Attorney,No known charges,
Justin Battenfield,4/10/20,Pending investigation/No Known Charges,No known charges,
Kanisha Necole Fuller,4/10/20,Charged with a crime,Charged with a crime,
Matthew Brennon Goff,4/10/20,Pending investigation/No Known Charges,No known charges,
Desmond Franklin,4/9/20,Pending investigation/No Known Charges,No known charges,
Kenneth Jeremy Blair,4/9/20,Pending investigation/No Known Charges,No known charges,
Zachary Gifford,4/9/20,Pending investigation/No Known Charges,No known charges,
Zyon Romeir Wyche,4/9/20,Pending investigation/No Known Charges,No known charges,
Joshua Dariandre Ruffin,4/8/20,Justified by Fifth Judicial Circuit Solicitor,No known charges,
Tony Zaffina,4/8/20,Pending investigation/No Known Charges,No known charges,
Rick Howell,4/8/20,Pending investigation/No Known Charges,No known charges,
Brandon Mark Stoke,4/7/20,Pending investigation/No Known Charges,No known charges,
Derek Taylor Swanson,4/7/20,Pending investigation/No Known Charges,No known charges,
Dewayne Curtis Lafond,4/7/20,Pending investigation/No Known Charges,No known charges,
Idris Abdus-Salaam,4/7/20,Justified by District Attorney,No known charges,
Jacob Matthew Dau,4/7/20,Justified by County Attorney,No known charges,
Joshua Bacco,4/7/20,Pending investigation/No Known Charges,No known charges,
Kelvin Parks,4/6/20,Pending investigation/No Known Charges,No known charges,
Tommie Dale McGlothen Jr.,4/6/20,Charged with negligent homicide and malfeasance,Charged with a crime,
Yamil Acevedo,4/6/20,Pending investigation/No Known Charges,No known charges,
Carl Manning,4/5/20,Justified by Attorney General,No known charges,
Michael Hammett,4/5/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,4/5/20,Pending investigation/No Known Charges,No known charges,
Philip Castonguay III,4/5/20,Pending investigation/No Known Charges,No known charges,
Richard Lee Kampstra,4/5/20,Pending investigation/No Known Charges,No known charges,
Leneard M. Bliss,4/4/20,Pending investigation/No Known Charges,No known charges,
"Jose ""Jay"" Soto",4/3/20,Pending investigation/No Known Charges,No known charges,
Stephen Dolceamore,4/3/20,Pending investigation/No Known Charges,No known charges,
David A. Xanatos,4/2/20,Justified by District Attorney,No known charges,
Jose Moreno,4/2/20,Pending investigation/No Known Charges,No known charges,
Joseph Zahazcewski,4/2/20,Pending investigation/No Known Charges,No known charges,
Nathan R. Hodge,4/2/20,Pending investigation/No Known Charges,No known charges,
Austin Hines,4/1/20,Pending investigation/No Known Charges,No known charges,
David Mathew Cain,4/1/20,Justified by County Attorney,No known charges,
Lyndon Gray,4/1/20,Pending investigation/No Known Charges,No known charges,
Rico Robles,4/1/20,Pending investigation/No Known Charges,No known charges,
John Henry Ross II,3/31/20,Pending investigation/No Known Charges,No known charges,
Shane Tilman Kent,3/31/20,Justified by District Attorney,No known charges,
Anthony Pacheco,3/30/20,Pending investigation/No Known Charges,No known charges,
Etonne T. Tanzymore,3/30/20,Pending investigation/No Known Charges,No known charges,
Jessie Troy Stringfield,3/30/20,Pending investigation/No Known Charges,No known charges,
Valente Acosta-Busttillos,3/30/20,Pending investigation/No Known Charges,No known charges,
Jacob Emry McIlveen,3/29/20,Pending investigation/No Known Charges,No known charges,
Shane Farwell,3/28/20,Pending investigation/No Known Charges,No known charges,
Thomas Owens,3/28/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,3/27/20,Pending investigation/No Known Charges,No known charges,
Robert Harman Sword,3/27/20,Justified by County Commonwealth's Attorney,No known charges,
"Tyrell ""Rex"" Fincher",3/27/20,Pending investigation/No Known Charges,No known charges,
William Patrick Floyd,3/27/20,Grand jury/No bill or Cleared,No known charges,
Deanna Owsianiak,3/26/20,Justified by outside agency,No known charges,
John Mark Hendrick Jr.,3/26/20,Pending investigation/No Known Charges,No known charges,
Glenn A. White,3/25/20,Pending investigation/No Known Charges,No known charges,
Matthew Moore,3/25/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,3/25/20,Pending investigation/No Known Charges,No known charges,
Christopher Joel Mock,3/24/20,Pending investigation/No Known Charges,No known charges,
Kathryn R. Hale,3/24/20,Pending investigation/No Known Charges,No known charges,
Mauricio Hernandez,3/24/20,Pending investigation/No Known Charges,No known charges,
Michael Wallace,3/24/20,Pending investigation/No Known Charges,No known charges,
Carlos Delgado,3/23/20,Pending investigation/No Known Charges,No known charges,
Charles Edward Walsh,3/23/20,Pending investigation/No Known Charges,No known charges,
Gerald Johnson,3/22/20,Pending investigation/No Known Charges,No known charges,
Bryan Pena,3/21/20,Pending investigation/No Known Charges,No known charges,
Charles Gage Lorentz,3/21/20,Justified by District Attorney,No known charges,
Charles Thomas Evans,3/21/20,Pending investigation/No Known Charges,No known charges,
Israel Lucas,3/21/20,Pending investigation/No Known Charges,No known charges,
Peter C. Albers,3/21/20,Pending investigation/No Known Charges,No known charges,
Alvin Lamont Baum II,3/20/20,Pending investigation/No Known Charges,No known charges,
Kamaal Koby Edwards,3/20/20,Pending investigation/No Known Charges,No known charges,
Larry Millraney,3/20/20,Pending investigation/No Known Charges,No known charges,
Mycael Johnson aka Mychael Johnson,3/20/20,Pending investigation/No Known Charges,No known charges,
Charles Parker,3/19/20,Pending investigation/No Known Charges,No known charges,
Harold Spencer,3/19/20,Pending investigation/No Known Charges,No known charges,
Kyle Anthony Eichler,3/19/20,Justified by Prosecuting Attorney,No known charges,
Allen F. Boehnlein,3/18/20,Justified by Prosecutor's Office,No known charges,
Lebarron Ballard,3/18/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,3/18/20,Pending investigation/No Known Charges,No known charges,
Steven Alire,3/17/20,Justified by District Attorney,No known charges,
William Dion Tolbert Simpkins,3/17/20,Pending investigation/No Known Charges,No known charges,
Charity Thome,3/16/20,Justified by District Attorney,No known charges,
"Darwin ""Darrin"" Barnell Foy",3/16/20,Pending investigation/No Known Charges,No known charges,
Juanito Ovalle,3/16/20,Pending investigation/No Known Charges,No known charges,
Marvin O'Reilly,3/16/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,3/16/20,Pending investigation/No Known Charges,No known charges,
Catherine Gomez,3/15/20,Pending investigation/No Known Charges,No known charges,
Dakota Wayne Yancey,3/15/20,Pending investigation/No Known Charges,No known charges,
Darrell William Mobley Sr.,3/15/20,Justified by District Attorney,No known charges,
Douglas John Foster,3/15/20,Pending investigation/No Known Charges,No known charges,
Michael Brandon Potter,3/15/20,Pending investigation/No Known Charges,No known charges,
Chase Eldon Brooks,3/14/20,Justified by District Attorney,No known charges,
Jeramiah Medina,3/14/20,Pending investigation/No Known Charges,No known charges,
Jesse Patrick Cedillo Jr.,3/14/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,3/14/20,Pending investigation/No Known Charges,No known charges,
Rory Edwin Murray,3/14/20,Pending investigation/No Known Charges,No known charges,
Breonna Taylor,3/13/20,Charged with 1st degree wanton endangerment,Charged with a crime,
Christopher Carl Mullins,3/13/20,Pending investigation/No Known Charges,No known charges,
Dung Nguyen,3/13/20,Pending investigation/No Known Charges,No known charges,
Jorge Martinez,3/13/20,Pending investigation/No Known Charges,No known charges,
Justin M. Riggs,3/13/20,Pending investigation/No Known Charges,No known charges,
Marc N. Morgan,3/13/20,Pending investigation/No Known Charges,No known charges,
Rosario Angel Alvarado,3/13/20,Pending investigation/No Known Charges,No known charges,
Donnie Sanders,3/12/20,Pending investigation/No Known Charges,No known charges,
Duncan Socrates Lemp,3/12/20,Pending investigation/No Known Charges,No known charges,
Joshua Christopher Noles,3/11/20,Pending investigation/No Known Charges,No known charges,
Mary Kate Field,3/11/20,Pending investigation/No Known Charges,No known charges,
Joshua Robert Kessinger,3/10/20,Pending investigation/No Known Charges,No known charges,
Pablo Elias,3/10/20,Pending investigation/No Known Charges,No known charges,
Desiree Nicole Garza,3/9/20,Pending investigation/No Known Charges,No known charges,
Jennifer Taylor,3/9/20,Pending investigation/No Known Charges,No known charges,
Jesus Bonito Garza,3/9/20,Pending investigation/No Known Charges,No known charges,
Aaron Tolen,3/8/20,Pending investigation/No Known Charges,No known charges,
Barry Gedeus,3/8/20,Pending investigation/No Known Charges,No known charges,
Charles Harwood,3/8/20,Pending investigation/No Known Charges,No known charges,
Keith P. Haux,3/8/20,Pending investigation/No Known Charges,No known charges,
Lawson Edward Schaber,3/8/20,Pending investigation/No Known Charges,No known charges,
Zachery Anderson Jr.,3/8/20,Pending investigation/No Known Charges,No known charges,
Gary Brown,3/7/20,Pending investigation/No Known Charges,No known charges,
Matthew Adam Miller,3/7/20,Justified by District Attorney,No known charges,
Jacob Frausto,3/6/20,Pending investigation/No Known Charges,No known charges,
Jerry Keith Gaghins,3/6/20,Pending investigation/No Known Charges,No known charges,
Kenneth Mullins,3/6/20,Pending investigation/No Known Charges,No known charges,
Tyler M. Jones,3/6/20,Grand jury/No bill or Cleared,No known charges,
Ajay Kamil Ayseli,3/5/20,Pending investigation/No Known Charges,No known charges,
Curtis Hass,3/5/20,Pending investigation/No Known Charges,No known charges,
Devan Austin Twilley,3/5/20,Pending investigation/No Known Charges,No known charges,
Elijah Jamaal Brewer,3/5/20,Pending investigation/No Known Charges,No known charges,
Gene Beasley,3/5/20,Pending investigation/No Known Charges,No known charges,
David John Beckes,3/4/20,Pending investigation/No Known Charges,No known charges,
Gary Lee Tierney Sr.,3/4/20,Pending investigation/No Known Charges,No known charges,
Christopher Palmer,3/3/20,Justified by Prosecutor,No known charges,
Jose Gainza,3/3/20,Pending investigation/No Known Charges,No known charges,
"Manuel ""Manny"" Elijah Ellis",3/3/20,Pending investigation/No Known Charges,No known charges,
Ryan E. Bass,3/3/20,Pending investigation/No Known Charges,No known charges,
Cody Hodges,3/2/20,Pending investigation/No Known Charges,No known charges,
Terry Frank Cagle,3/2/20,Grand jury/No bill or Cleared,No known charges,
Christopher Alvarez,3/1/20,Pending investigation/No Known Charges,No known charges,
Joshua Russell,3/1/20,Pending investigation/No Known Charges,No known charges,
Matthew Ray Chapa,3/1/20,Pending investigation/No Known Charges,No known charges,
Raymundo Aaron Ceja,3/1/20,Pending investigation/No Known Charges,No known charges,
Anthony Taylor,2/29/20,Pending investigation/No Known Charges,No known charges,
"Antonio R. ""Tony"" Valenzuela",2/29/20,Charged with involuntary manslaughter,Charged with a crime,
Ian Austin Wilson,2/29/20,Pending investigation/No Known Charges,No known charges,
Richard Rodriguez,2/29/20,Pending investigation/No Known Charges,No known charges,
Stephen Douris,2/29/20,Pending investigation/No Known Charges,No known charges,
Jose Luis Rivera,2/28/20,Justified by outside agency,No known charges,
Kent Richard Kruger,2/28/20,Pending investigation/No Known Charges,No known charges,
Cecil Dewayne Truelove,2/27/20,Pending investigation/No Known Charges,No known charges,
Desmond Hayes,2/27/20,Justified by District Attorney,No known charges,
Dorgel Cisnero-Mesa,2/27/20,Pending investigation/No Known Charges,No known charges,
Joshua Hernandez Lord,2/27/20,Pending investigation/No Known Charges,No known charges,
David William Irving,2/26/20,Pending investigation/No Known Charges,No known charges,
"James ""Jimbo"" Gilbert Thomson",2/26/20,Justified by District Attorney,No known charges,
Justin Lee Stackhouse,2/26/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,2/26/20,Pending investigation/No Known Charges,No known charges,
Ramiro Carrasco,2/26/20,Justified by District Attorney,No known charges,
William G. Resto,2/26/20,Pending investigation/No Known Charges,No known charges,
Dylan John Olmeda,2/25/20,Pending investigation/No Known Charges,No known charges,
Kenneth Laneal Sashington,2/25/20,Pending investigation/No Known Charges,No known charges,
Matthew Felix,2/25/20,Pending investigation/No Known Charges,No known charges,
Name withheld by police,2/25/20,Pending investigation/No Known Charges,No known charges,
Neal Stuart Nevada,2/25/20,Pending investigation/No Known Charges,No known charges,
SanJuan Migayle Thomas,2/25/20,Pending investigation/No Known Charges,No known charges,
Terry Hasty,2/25/20,Pending investigation/No Known Charges,No known charges,
Lucas J. Alvarado,2/24/20,Pending investigation/No Known Charges,No known charges,
Print Zutavern,2/24/20,Grand jury/No bill or Cleared,No known charges,
Stephen Michael O'Brien,2/24/20,Pending investigation/No Known Charges,No known charges,
Boyce Melvin Thayer,2/23/20,Pending investigation/No Known Charges,No known charges,
Adam Gamrak Jr.,2/22/20,Pending investigation/No Known Charges,No known charges,
Rodrigo Ivan Aguirre,2/22/20,Pending investigation/No Known Charges,No known charges,
Joseph Krebs,2/21/20,Pending investigation/No Known Charges,No known charges,
Lindy Bolie,2/21/20,Pending investigation/No Known Charges,No known charges,
Manuel Arebalo,2/21/20,Pending investigation/No Known Charges,No known charges,
John Daniel Dixon,2/20/20,Pending investigation/No Known Charges,No known charges,
Joseph C. Jewell III,2/20/20,Pending investigation/No Known Charges,No known charges,
Luis Ramirez,2/20/20,Pending investigation/No Known Charges,No known charges,
Roger Nordberg,2/20/20,Pending investigation/No Known Charges,No known charges,
Thomas Edward Zeller,2/20/20,Justified by District Attorney,No known charges,
Alex Francisco Vazquez,2/19/20,Pending investigation/No Known Charges,No known charges,
Kevin Aldophe,2/18/20,Pending investigation/No Known Charges,No known charges,
Matthew D. Saunders,2/18/20,Pending investigation/No Known Charges,No known charges,
Jeremy Dewey,2/17/20,Pending investigation/No Known Charges,No known charges,
Travis Mullins,2/17/20,Pending investigation/No Known Charges,No known charges,
Brandon Lewis,2/16/20,Pending investigation/No Known Charges,No known charges,
Daelyn Polu,2/16/20,Justified by outside agency,No known charges,
Kerry Michael Bounsom,2/16/20,Pending investigation/No Known Charges,No known charges,
"Rudy ""Shorty"" Arenas",2/16/20,Pending investigation/No Known Charges,No known charges,
Thomas Christopher Murray,2/16/20,Pending investigation/No Known Charges,No known charges,
Christopher Brian Gutierrez,2/14/20,Pending investigation/No Known Charges,No known charges,
David Kent Heeke,2/14/20,Justified by District Attorney,No known charges,
Timothy Leroy Harrington,2/14/20,Pending investigation/No Known Charges,No known charges,
William Kyle Bluestone,2/14/20,Grand jury/No bill or Cleared,No known charges,
Aaron Marcos Valdez,2/13/20,Pending investigation/No Known Charges,No known charges,
Abel Lopez-Lopez,2/13/20,Pending investigation/No Known Charges,No known charges,
Brian Francis Filion,2/13/20,Pending investigation/No Known Charges,No known charges,
Dakota Lee Chlarson,2/13/20,Justified by State's Attorney,No known charges,
Jeremy S. Fox,2/13/20,Pending investigation/No Known Charges,No known charges,
Dewayne Brian Bowman,2/12/20,Pending investigation/No Known Charges,No known charges,
Hans Alejandro Huitz,2/12/20,Pending investigation/No Known Charges,No known charges,
Michael Marullo,2/12/20,Pending investigation/No Known Charges,No known charges,
Bobby Joe Gibbs,2/10/20,Pending investigation/No Known Charges,No known charges,
Jeremy Todd Baham,2/10/20,Pending investigation/No Known Charges,No known charges,
Thomas Ray Chamblee,2/10/20,Pending investigation/No Known Charges,No known charges,
Erik Robinson,2/9/20,Pending investigation/No Known Charges,No known charges,
Gordon Whitaker,2/9/20,Pending investigation/No Known Charges,No known charges,
Jeremy Grayson,2/9/20,Pending investigation/No Known Charges,No known charges,
Michael A. Leatherwood,2/9/20,Pending investigation/No Known Charges,No known charges,
Zane G. Blaisdell,2/9/20,Justified by Prosecutor's Office,No known charges,
Douglas Harold Hart,2/8/20,Pending investigation/No Known Charges,No known charges,
Timothy DeBella,2/8/20,Pending investigation/No Known Charges,No known charges,
Joshua Downing,2/7/20,Pending investigation/No Known Charges,No known charges,
Juston Root,2/7/20,Justified by District Attorney,No known charges,
Michael J. Collins,2/7/20,Pending investigation/No Known Charges,No known charges,
Sean Patrick Constance,2/6/20,Pending investigation/No Known Charges,No known charges,
Daniel Murillo,2/5/20,Pending investigation/No Known Charges,No known charges,
Dominque Antwon Anderson,2/4/20,Pending investigation/No Known Charges,No known charges,
Gaston A. Nava-Saucedo,2/4/20,Pending investigation/No Known Charges,No known charges,
Lionel Morris,2/4/20,Justified by Prosecuting Attorney,No known charges,
Shawn Michael Taylor,2/4/20,Pending investigation/No Known Charges,No known charges,
Thomas Barbosa,2/4/20,Pending investigation/No Known Charges,No known charges,
Marc Dominic Neal,2/3/20,Pending investigation/No Known Charges,No known charges,
Alvin Cole,2/2/20,Pending investigation/No Known Charges,No known charges,
Chris Cadotte,2/2/20,Pending investigation/No Known Charges,No known charges,
Jason Gora,2/2/20,Pending investigation/No Known Charges,No known charges,
Leonard Charles Parker Jr.,2/1/20,Pending investigation/No Known Charges,No known charges,
Ronnell Mouzon,2/1/20,Pending investigation/No Known Charges,No known charges,
Vincent August Conti,2/1/20,Pending investigation/No Known Charges,No known charges,
Abdirahman Salad,1/30/20,Pending investigation/No Known Charges,No known charges,
Clint Stevens,1/30/20,Pending investigation/No Known Charges,No known charges,
Keith Dutree Collins,1/30/20,Pending investigation/No Known Charges,No known charges,
Richard Davis,1/30/20,Pending investigation/No Known Charges,No known charges,
Chad E. Nicolia,1/29/20,Pending investigation/No Known Charges,No known charges,
Justin Leman,1/29/20,Pending investigation/No Known Charges,No known charges,
Jaquyn Oneill Light,1/28/20,Justified by District Attorney,No known charges,
Jonathan Bentley,1/28/20,Pending investigation/No Known Charges,No known charges,
Joshua Greenleaf,1/28/20,Pending investigation/No Known Charges,No known charges,
Robert James Cocio,1/28/20,Pending investigation/No Known Charges,No known charges,
Aaron T. Booker,1/27/20,Pending investigation/No Known Charges,No known charges,
John Francis Tippett Jr.,1/27/20,Pending investigation/No Known Charges,No known charges,
Kevin Alan Smallman,1/27/20,Pending investigation/No Known Charges,No known charges,
William Howard Green Jr.,1/27/20,Charged with 2nd degree murder,Charged with a crime,
D'ovion Semaj Perkins,1/25/20,Justified by District Attorney,No known charges,
Joshua James Brown,1/25/20,Pending investigation/No Known Charges,No known charges,
Rebecca Angel Alexander,1/24/20,Pending investigation/No Known Charges,No known charges,
Scott Joseph Weber Jr.,1/24/20,Pending investigation/No Known Charges,No known charges,
Toby Edward Diller,1/24/20,Justified by District Attorney,No known charges,
Andrew J. Smyrna,1/23/20,Pending investigation/No Known Charges,No known charges,
Deandre Lee Seaborough-Patterson,1/23/20,Pending investigation/No Known Charges,No known charges,
Gage Scott Southard,1/23/20,Pending investigation/No Known Charges,No known charges,
James Lewis Mathis III,1/23/20,Pending investigation/No Known Charges,No known charges,
Marquis Golden,1/23/20,Justified by State Attorney,No known charges,
Michael J. Rivera,1/23/20,Pending investigation/No Known Charges,No known charges,
Adam Ray Hernandez,1/22/20,Pending investigation/No Known Charges,No known charges,
Armando Moreno Garcia,1/22/20,Pending investigation/No Known Charges,No known charges,
Jon Phillip Bryant,1/22/20,Pending investigation/No Known Charges,No known charges,
Anthony Langley Jr.,1/21/20,Pending investigation/No Known Charges,No known charges,
Darius J. Tarver,1/21/20,Pending investigation/No Known Charges,No known charges,
Gamel Antonio Brown,1/21/20,Pending investigation/No Known Charges,No known charges,
Reginald Leon Boston Jr.,1/21/20,Pending investigation/No Known Charges,No known charges,
Rory J. Behling,1/21/20,Justified by District Attorney,No known charges,
